id	possess
BS22-038	2
BS22-041	1
BS22-043	1
BS22-044	1
BS22-045	2
BS22-046	2
BS22-047	1
BS22-049	1
BS22-051	1
BS22-052	1
BS22-053	1
BS22-057	3
BS22-059	1
BS22-061	2
BS22-063	2
BS22-067	1
BS22-068	1
BS22-069	1
BS22-070	8
BS22-071	2
BS22-074	1
BS22-076	1
BS22-078	1
BS22-079	1
BS22-080	1
BS22-X03	1
BS22-X04	1
BS22-X05	1
BS22-X07	1
BS22-X08	4
BS23-001	2
BS23-004	3
BS23-006	5
BS23-009	4
BS23-010	1
BS23-012	4
BS23-015	1
BS23-017	1
BS23-018	1
BS23-019	1
BS23-020	1
BS23-021	1
BS23-023	3
BS23-024	1
BS23-025	2
BS23-026	1
BS23-028	1
BS23-029	1
BS23-030	2
BS23-032	5
BS23-033	2
BS23-034	3
BS23-036	3
BS23-037	3
BS23-038	3
BS23-039	7
BS23-041	1
BS23-042	5
BS23-043	1
BS23-044	3
BS23-045	1
BS23-047	4
BS23-048	2
BS23-050	1
BS23-054	1
BS23-057	3
BS23-059	3
BS23-060	1
BS23-061	2
BS23-063	1
BS23-064	1
BS23-065	1
BS23-067	4
BS23-069	2
BS23-071	3
BS23-072	1
BS23-073	4
BS23-075	1
BS23-076	3
BS23-079	1
BS23-080	1
BS23-081	4
BS23-082	2
BS23-X01	2
BS23-X03	3
BS23-X04	1
BS23-X05	1
BS23-X07	3
BS23-X08	1
BS24-001	1
BS24-002	2
BS24-003	2
BS24-004	2
BS24-005	2
BS24-006	1
BS24-007	2
BS24-011	1
BS24-014	1
BS24-016	1
BS24-017	1
BS24-018	1
BS24-019	1
BS24-020	1
BS24-021	3
BS24-022	1
BS24-025	3
BS24-026	3
BS24-027	1
BS24-029	1
BS24-030	1
BS24-031	2
BS24-033	1
BS24-034	2
BS24-035	5
BS24-036	3
BS24-037	2
BS24-041	1
BS24-042	1
BS24-043	1
BS24-045	2
BS24-046	4
BS24-048	3
BS24-052	1
BS24-053	1
BS24-057	3
BS24-060	2
BS24-065	1
BS24-067	1
BS24-068	1
BS24-072	1
BS24-073	1
BS24-077	1
BS24-080	3
BS24-081	2
BS24-082	1
BS24-083	4
BS24-084	1
BS24-085	3
BS24-088	1
BS24-090	1
BS24-091	1
BS24-092	2
BS24-093	1
BS24-094	2
BS24-097	5
BS24-099	3
BS24-100	3
BS24-101	2
BS24-102	1
BS24-106	2
BS24-107	2
BS24-108	2
BS24-110	1
BS24-111	1
BS24-112	1
BS24-X01	2
BS24-X07	1
BS25-001	1
BS25-002	1
BS25-003	5
BS25-004	1
BS25-007	1
BS25-008	2
BS25-009	1
BS25-010	2
BS25-011	1
BS25-012	3
BS25-013	1
BS25-014	1
BS25-015	2
BS25-018	4
BS25-019	1
BS25-020	1
BS25-024	2
BS25-025	2
BS25-026	3
BS25-027	2
BS25-028	1
BS25-029	1
BS25-030	2
BS25-032	3
BS25-034	1
BS25-035	6
BS25-036	1
BS25-037	2
BS25-038	1
BS25-039	1
